Item No (Excel),Item No (PDF),PDF Page,English Name (Excel),English Name (PDF),English Name Match,Part No (Excel),Part No (PDF),Part No Match,Qty (Excel),Qty (PDF),Qty Match,HS Code (Excel),HS Code (PDF),HS Code Match,Overall Status,Details
1,1,1,ABS CONTROLLER (KEMI),COPERCHIO DELLA SPI- NA (24V),MISMATCH,453603771/XGA36HKFW211-30201,455313668,MISMATCH,1,1PIECE,MATCH,853710,7326.90,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; HS Code mismatch
2,2,1,RLAY VALVE ASSEMBLY,SWITCH GROUP I,MISMATCH,453502216/NXG3527WLFW6B1-010,453 709839,MISMATCH,2,1PIECE,MISMATCH,848180,8537.10,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
3,3,1,LIMIT BLOCK - FRONT SUSPENSION,BUSHING,MISMATCH,452906875/XGA29HEFW211-01106,53*43*21MM /455013717,MISMATCH,4,10PIECES,MISMATCH,401699,7326.90,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
4,4,1,SPRING PIN LOCATING BOLT,FLYWHEEL PULLEY,MISMATCH,452902661/NXG29KFW111-01054,61 2630020051,MISMATCH,10,2PIECES,MISMATCH,731815,8483.50,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
5,5,1,WEAR ALARM JUMPER WIRE,SCREW+NUT,MISMATCH,459306729/HD90009580001,M14*65*1 .5*10.9 MM.,MISMATCH,2,50SETS,MISMATCH,731210,7318.15,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
6,6,2,INTERNAL SERRATED LOCKING WASHER,SECOND EXHAUST PIPE,MISMATCH,805339139,ASSEMBLY,MISMATCH,5,5PIECES,MATCH,731815,8708.92,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; HS Code mismatch
7,7,2,END TYPE CONNECTOR+SEAL WASHER,OUTDOOR TEMPERATURE,MISMATCH,453505137 + 805339161,SENSOR ASSEMBLY,MISMATCH,20,6PIECES,MISMATCH,732690,8536.90,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
8,8,2,HOLLOW BOLT+CIRCLIP+SPECIAL SECTION SEAL,RIGHT DOOR CONTROL MODULE,MISMATCH,453505138 + 453505139 + 453505140,453602791,MISMATCH,20,1PIECE,MISMATCH,732690,8537.10,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
9,9,2,HOLLOW BOLT+CIRCLIP+SPECIAL SECTION SEAL,RIGHT CAR DOOR LOCK,MISMATCH,453505131 + 453505132 + 453505133,BODY AND TRIM ASSEMBLY-G ELECTRIC,MISMATCH,50,2PIECES,MISMATCH,732690,8302.30,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
10,10,2,SHOCK ABSORBER ASSEMBLY,CAN TRANSMITTER,MISMATCH,452906971/XGA2921YPAY132-010,45 3717900,MISMATCH,4,2PIECES,MISMATCH,870880,8537.10,MISMATCH,MISMATCH,English Name mismatch; Part No mismatch; Qty mismatch; HS Code mismatch
